time (s)	det(V)
2546.641515	-1.732656	
2546.643515	-1.732684	
2546.645515	-1.732706	
2546.647513	-1.732691	
2546.651516	-1.732608	
2546.653514	-1.732635	
2546.655514	-1.732697	
2546.657514	-1.732654	
2546.659514	-1.732676	
2546.663513	-1.732704	
2546.665514	-1.732679	
2546.667514	-1.732721	
2546.671515	-1.732739	
2546.673515	-1.732657	
2546.675514	-1.732655	
2546.677515	-1.732680	
2546.679515	-1.732631	
2546.681514	-1.732701	
2546.683513	-1.732635	
2546.685514	-1.732533	
2546.687513	-1.732339	
2546.691514	-1.732126	
2546.693515	-1.731584	
2546.695514	-1.731371	
2546.697514	-1.729592	
2546.699514	-1.602273	
2546.703513	-1.389291	
2546.707513	-1.001630	
2546.709514	-0.576602	
2546.711515	-0.393788	
2546.713515	-0.174430	
2546.715515	0.018497	
2546.717514	0.215564	
2546.721513	0.431772	
2546.723515	0.809489	
2546.725515	1.023209	
2546.729514	1.196648	
2546.731515	1.528580	
2546.733514	1.528942	
2546.735514	1.528937	
2546.737515	1.529006	
2546.741513	1.529029	
2546.743515	1.528979	
2546.747515	1.528971	
2546.749514	1.528981	
2546.751515	1.528950	
2546.753515	1.529003	
2546.755515	1.528940	
2546.759513	1.528963	
2546.761514	1.529001	
2546.763515	1.529009	
2546.765514	1.528993	
2546.767515	1.528939	
2546.769515	1.529033	
2546.771514	1.528988	
2546.773515	1.528968	
2546.775515	1.528967	
2546.777513	1.528958	
2546.779515	1.528995	
2546.781515	1.528975	
2546.785516	1.529017	
2546.787515	1.528994	
2546.789514	1.529013	
2546.791515	1.528988	
2546.793515	1.528974	
2546.795514	1.528962	
2546.799513	1.529008	
2546.801514	1.529005	
2546.803515	1.528980	
2546.807515	1.528990	
2546.809514	1.528895	
2546.811515	1.528999	
2546.813514	1.528962	
2546.815514	1.528984	
2546.817515	1.528992	
2546.821514	1.528948	
2546.825515	1.529048	
2546.827516	1.529013	
2546.829514	1.529007	
2546.831515	1.528986	
2546.833515	1.529026	
2546.837514	1.528942	
2546.839514	1.529044	
2546.841515	1.529022	
2546.843514	1.529009	
2546.845515	1.529026	
2546.847515	1.528986	
2546.849514	1.528931	
2546.851514	1.528907	
2546.853515	1.529002	
2546.855514	1.528984	
2546.857515	1.528992	
2546.859514	1.529045	
2546.861513	1.528967	
2546.865514	1.528975	
2546.867515	1.528926	
2546.869515	1.529009	
2546.871515	1.528946	
2546.873514	1.529020	
2546.877514	1.528984	
2546.879513	1.529004	
2546.881514	1.528967	
2546.885517	1.528955	
2546.887514	1.529001	
2546.889514	1.528985	
2546.891514	1.528989	
2546.893515	1.529015	
2546.895514	1.528993	
2546.899515	1.528996	
2546.903514	1.528980	
2546.905515	1.528971	
2546.907516	1.528963	
2546.909514	1.528989	
2546.911515	1.529007	
2546.915513	1.529025	
2546.917515	1.529022	
2546.919514	1.528996	
2546.921515	1.528576	
2546.923514	1.524421	
2546.925515	1.476839	
2546.927514	1.384363	
2546.929514	1.319987	
2546.931515	1.264232	
2546.933515	1.186831	
2546.935515	1.137934	
2546.937515	1.086004	
2546.939515	1.020583	
2546.943515	0.987404	
2546.945515	0.879562	
2546.947514	0.848768	
2546.949514	0.787168	
2546.951514	0.747368	
2546.955514	0.727804	
2546.957515	0.635260	
2546.959514	0.599370	
2546.963515	0.546052	
2546.965515	0.501535	
2546.967515	0.465282	
2546.969515	0.451773	
2546.971515	0.417395	
2546.973514	0.393873	
2546.977515	0.369792	
2546.981515	0.306969	
2546.983516	0.266637	
2546.985514	0.267265	
2546.987515	0.249672	
2546.989515	0.222171	
2546.993513	0.225281	
2546.995514	0.154883	
2546.997514	0.155944	
2546.999514	0.122735	
2547.001514	0.121991	
2547.003515	0.136374	
2547.005515	0.107941	
2547.007514	0.109107	
2547.009515	0.100329	
2547.011515	0.069317	
2547.013514	0.064190	
2547.015515	0.040345	
2547.017514	0.024483	
2547.021519	0.034186	
2547.023515	0.027637	
2547.025514	0.035044	
2547.027515	0.006990	
2547.029514	0.002205	
2547.033514	0.000971	
2547.035515	-0.026097	
2547.037514	-0.026976	
2547.041515	-0.043433	
2547.043517	-0.027534	
2547.045514	-0.046332	
2547.047515	-0.036221	
2547.049515	-0.056453	
2547.051514	-0.057384	
2547.055515	-0.050833	
2547.059514	-0.062776	
2547.061515	-0.069942	
2547.063514	-0.061030	
2547.065515	-0.074248	
2547.067515	-0.082422	
2547.071513	-0.063712	
2547.073513	-0.089051	
2547.075515	-0.078563	
2547.077514	-0.099608	
2547.079515	-0.091607	
2547.081515	-0.078573	
2547.083516	-0.100768	
2547.085514	-0.085409	
2547.087515	-0.080860	
2547.089515	-0.091472	
2547.091514	-0.085989	
2547.093515	-0.102216	
2547.097514	-0.116655	
2547.099516	-0.115759	
2547.101515	-0.103465	
2547.103514	-0.082415	
2547.105515	-0.099931	
2547.107514	-0.086972	
2547.111514	-0.084865	
2547.113514	-0.105908	
2547.115515	-0.117070	
2547.119515	-0.123877	
2547.121515	-0.095349	
2547.123515	-0.092379	
2547.125514	-0.082381	
2547.127514	-0.101025	
2547.131513	-0.098874	
2547.133515	-0.127115	
2547.137515	-0.110237	
2547.139516	-0.098269	
2547.141515	-0.077923	
2547.143515	-0.090663	
2547.145513	-0.104943	
2547.149513	-0.089411	
2547.151514	-0.118321	
2547.153515	-0.097054	
2547.155514	-0.110938	
2547.157518	-0.088624	
2547.159516	-0.081398	
2547.161515	-0.096794	
2547.163514	-0.088498	
2547.165514	-0.093651	
2547.167514	-0.102678	
2547.169515	-0.094060	
2547.171519	-0.101970	
2547.175515	-0.100061	
2547.177515	-0.099965	
2547.179515	-0.088310	
2547.181515	-0.080782	
2547.183514	-0.101204	
2547.185514	-0.081892	
2547.189513	-0.075626	
2547.191515	-0.083887	
2547.193514	-0.092854	
2547.197515	-0.104750	
2547.199515	-0.092419	
2547.201515	-0.087734	
2547.203515	-0.068942	
2547.205514	-0.081758	
2547.209513	-0.069982	
2547.211515	-0.099805	
2547.215514	-0.086852	
2547.217515	-0.087518	
2547.219515	-0.065985	
2547.221514	-0.076333	
2547.223514	-0.073622	
2547.227513	-0.057882	
2547.229515	-0.086952	
2547.231514	-0.083494	
2547.235514	-0.099355	
2547.237516	-0.059667	
2547.239514	-0.070786	
2547.241515	-0.055084	
2547.243515	-0.063426	
2547.245514	-0.073777	
2547.249514	-0.071399	
2547.253515	-0.084415	
2547.255515	-0.067899	
2547.257515	-0.053024	
2547.259515	-0.052454	
2547.261515	-0.069438	
2547.265513	-0.055974	
2547.267515	-0.085928	
2547.269513	-0.067157	
2547.271514	-0.071698	
2547.273514	-0.063583	
2547.275515	-0.041203	
2547.277515	-0.060342	
2547.279514	-0.058246	
2547.281515	-0.053238	
2547.283515	-0.068582	
2547.285516	-0.060935	
2547.287515	-0.060588	
2547.291514	-0.069224	
2547.293515	-0.051532	
2547.295513	-0.059384	
2547.297514	-0.042206	
2547.299516	-0.059376	
2547.301514	-0.055497	
2547.305514	-0.034281	
2547.307514	-0.051147	
2547.309515	-0.048677	
2547.313514	-0.067954	
2547.315515	-0.046782	
2547.317515	-0.055412	
2547.319514	-0.037028	
2547.321514	-0.044073	
2547.323514	-0.040260	
2547.327514	-0.037628	
2547.331514	-0.056991	
2547.333515	-0.055124	
2547.335515	-0.036711	
2547.337514	-0.033724	
2547.339515	-0.044755	
2547.343513	-0.024886	
2547.345515	-0.060166	
2547.347515	-0.047641	
2547.351514	-0.064547	
2547.353514	-0.028585	
2547.355515	-0.041987	
2547.357514	-0.032241	
2547.359513	-0.028977	
2547.361513	-0.047751	
2547.365514	-0.045681	
2547.369514	-0.064001	
2547.371514	-0.040626	
2547.373514	-0.040149	
2547.375514	-0.029105	
2547.377514	-0.045574	
2547.381513	-0.043478	
2547.383515	-0.073124	
2547.385514	-0.057331	
2547.387515	-0.050388	
2547.389515	-0.055619	
2547.391514	-0.032513	
2547.393515	-0.040224	
2547.395514	-0.057539	
2547.397515	-0.041246	
2547.399514	-0.059026	
2547.401515	-0.069164	
2547.403515	-0.055234	
2547.405513	-0.070242	
2547.409515	-0.061608	
2547.411514	-0.064136	
2547.413515	-0.053868	
2547.415514	-0.065567	
2547.417515	-0.074205	
2547.421513	-0.056914	
2547.423515	-0.081176	
2547.425513	-0.070776	
2547.427514	-0.092923	
2547.429515	-0.085068	
2547.431514	-0.078074	
2547.433514	-0.100354	
2547.435515	-0.085517	
2547.437515	-0.084346	
2547.439514	-0.098778	
2547.441515	-0.094921	
2547.443515	-0.112096	
2547.447514	-0.130801	
2547.449515	-0.137994	
2547.451514	-0.133532	
2547.453515	-0.117450	
2547.455515	-0.139950	
2547.457515	-0.135211	
2547.461513	-0.135737	
2547.463514	-0.173414	
2547.465514	-0.189630	
2547.469515	-0.206066	
2547.471515	-0.199291	
2547.473514	-0.209312	
2547.475515	-0.207170	
2547.477514	-0.235933	
2547.479515	-0.245512	
2547.483515	-0.262290	
2547.487515	-0.294035	
2547.489515	-0.314517	
2547.491514	-0.311142	
