num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3021	3802.259266	64.780567	-18.327406	3.526046	94.660970
3023	3804.334968	64.703670	-18.492559	3.517173	92.908640
3027	3808.490063	64.258752	-18.263326	3.518569	90.755361
3029	3810.567875	64.253873	-17.923624	3.519602	96.285361
3031	3812.645402	64.536265	-17.894622	3.512110	91.735079
3033	3814.723579	64.328403	-17.811074	3.514504	89.576182
3037	3818.878673	64.243445	-18.017952	3.498883	92.756369
3039	3820.956507	63.840761	-17.834786	3.495347	90.799120
3043	3825.111987	63.866409	-17.720684	3.488598	92.252015
3045	3827.190708	63.404220	-17.826505	3.487115	95.738844
3049	3831.348020	63.491586	-17.444426	3.486087	92.385332
3051	3833.425225	63.417916	-17.562734	3.481689	91.595336
3053	3835.502295	63.381763	-17.533821	3.481003	91.768064
3057	3839.654603	63.160805	-17.290961	3.471511	89.162251
3059	3841.732551	63.223212	-17.246649	3.465501	89.955592
3061	3843.810840	63.117059	-17.334429	3.463683	89.715544
3063	3845.889124	62.907725	-17.147004	3.462352	93.843495
3067	3850.044913	63.066360	-17.365487	3.450129	95.968182
3069	3852.122845	62.658874	-17.060659	3.450828	95.741745
3071	3854.200278	62.715062	-16.970084	3.449540	92.190385
3075	3858.354703	62.622202	-17.059234	3.441181	93.259912
3077	3860.430967	62.376649	-16.806814	3.440668	87.390775
3079	3862.508168	62.819007	-16.967483	3.435740	92.706822
3083	3866.663482	62.174270	-16.600740	3.432294	87.932201
3085	3868.741936	62.025260	-16.604685	3.429698	90.141480
3089	3872.899432	62.262647	-16.445586	3.421160	90.342728
3091	3874.977495	61.912801	-16.395191	3.419900	90.026424
3093	3877.054348	61.869927	-16.351732	3.416563	92.505236
3095	3879.131212	62.099244	-16.505667	3.408901	92.322295
3097	3881.207836	61.751813	-16.308211	3.410593	93.732708
3101	3885.361159	61.642588	-16.121031	3.409520	90.936901
3103	3887.438599	61.761461	-16.172687	3.400217	89.698742
3105	3889.516204	61.683988	-16.046274	3.403657	96.383745
3109	3893.671165	61.328854	-16.042348	3.392388	90.220428
3111	3895.748899	61.106362	-15.809548	3.392973	88.908187
3113	3897.826493	60.984689	-15.758467	3.388336	92.043256
3117	3901.982977	60.954370	-15.673096	3.379730	90.636000
3119	3904.061539	60.731804	-15.538953	3.379082	87.849717
3123	3908.218065	60.617997	-15.531111	3.376878	89.012840
3125	3910.295205	61.128300	-15.378230	3.368223	91.136474
3129	3914.448637	60.883228	-15.325245	3.365756	89.532207
3131	3916.525200	60.552064	-15.172295	3.365430	89.873866
3133	3918.601520	60.208261	-15.104804	3.360318	88.174169
3135	3920.678569	60.123571	-15.044972	3.360687	94.630043
3139	3924.833687	59.821738	-15.133112	3.353807	89.172206
3141	3926.911414	60.054869	-14.919165	3.351057	89.849183
3143	3928.989152	60.152156	-14.928083	3.342042	91.898186
3147	3933.144092	59.505328	-14.722161	3.342505	87.532389
