crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	56.550152	4583	0.000000
281474976710655.000000	37.303825	4584	0.000000
281474976710655.000000	72.467941	4585	0.000000
281474976710655.000000	59.215385	4586	0.000000
281474976710655.000000	46.943645	4587	0.000000
281474976710655.000000	60.240883	4588	0.000000
281474976710655.000000	40.561913	4589	0.000000
281474976710655.000000	57.447948	4590	0.000000
281474976710655.000000	45.868111	4591	0.000000
281474976710655.000000	94.269798	4592	0.000000
281474976710655.000000	57.150249	4593	0.000000
281474976710655.000000	33.570335	4594	0.000000
281474976710655.000000	59.547035	4595	0.000000
281474976710655.000000	42.631359	4596	0.000000
281474976710655.000000	59.529896	4597	0.000000
281474976710655.000000	54.219547	4598	0.000000
281474976710655.000000	42.926834	4599	0.000000
281474976710655.000000	52.185005	4600	0.000000
281474976710655.000000	55.512302	4601	0.000000
281474976710655.000000	44.416267	4602	0.000000
281474976710655.000000	46.378403	4603	0.000000
281474976710655.000000	61.134876	4604	0.000000
281474976710655.000000	49.043098	4605	0.000000
281474976710655.000000	51.282677	4606	0.000000
281474976710655.000000	81.759117	4607	0.000000
281474976710655.000000	54.804592	4608	0.000000
281474976710655.000000	47.741432	4609	0.000000
281474976710655.000000	45.688026	4610	0.000000
281474976710655.000000	34.551804	4611	0.000000
281474976710655.000000	61.397522	4612	0.000000
281474976710655.000000	46.527859	4613	0.000000
281474976710655.000000	53.517918	4614	0.000000
281474976710655.000000	40.583401	4615	0.000000
281474976710655.000000	55.073467	4616	0.000000
281474976710655.000000	40.144161	4617	0.000000
281474976710655.000000	48.829067	4618	0.000000
281474976710655.000000	44.004078	4619	0.000000
281474976710655.000000	55.084454	4620	0.000000
281474976710655.000000	38.073826	4621	0.000000
281474976710655.000000	55.427322	4622	0.000000
281474976710655.000000	51.760124	4623	0.000000
281474976710655.000000	60.783699	4624	0.000000
281474976710655.000000	49.617001	4625	0.000000
281474976710655.000000	48.199390	4626	0.000000
281474976710655.000000	49.442249	4627	0.000000
281474976710655.000000	34.535877	4628	0.000000
281474976710655.000000	35.770584	4629	0.000000
281474976710655.000000	69.780380	4630	0.000000
281474976710655.000000	35.852669	4631	0.000000
281474976710655.000000	40.816139	4632	0.000000
281474976710655.000000	36.933140	4633	0.000000
281474976710655.000000	49.070415	4634	0.000000
281474976710655.000000	41.233803	4635	0.000000
281474976710655.000000	35.737728	4636	0.000000
281474976710655.000000	37.059341	4637	0.000000
281474976710655.000000	47.289356	4638	0.000000
281474976710655.000000	43.300861	4639	0.000000
281474976710655.000000	48.230957	4640	0.000000
281474976710655.000000	48.930435	4641	0.000000
281474976710655.000000	52.694397	4642	0.000000
281474976710655.000000	37.778656	4643	0.000000
281474976710655.000000	47.935802	4644	0.000000
281474976710655.000000	49.867046	4645	0.000000
281474976710655.000000	39.683380	4646	0.000000
281474976710655.000000	55.024677	4647	0.000000
281474976710655.000000	46.249054	4648	0.000000
281474976710655.000000	50.414330	4649	0.000000
281474976710655.000000	37.804550	4650	0.000000
281474976710655.000000	53.477184	4651	0.000000
281474976710655.000000	60.403706	4652	0.000000
281474976710655.000000	46.262829	4653	0.000000
281474976710655.000000	37.488605	4654	0.000000
281474976710655.000000	36.539009	4655	0.000000
281474976710655.000000	49.379364	4656	0.000000
281474976710655.000000	37.578239	4657	0.000000
281474976710655.000000	37.363873	4658	0.000000
281474976710655.000000	48.671566	4659	0.000000
281474976710655.000000	64.385536	4660	0.000000
281474976710655.000000	35.828426	4661	0.000000
281474976710655.000000	40.444592	4662	0.000000
281474976710655.000000	39.249161	4663	0.000000
281474976710655.000000	36.026608	4664	0.000000
281474976710655.000000	31.067905	4665	0.000000
281474976710655.000000	37.768250	4666	0.000000
281474976710655.000000	43.364311	4667	0.000000
281474976710655.000000	34.886982	4668	0.000000
281474976710655.000000	30.747875	4669	0.000000
281474976710655.000000	58.646263	4670	0.000000
281474976710655.000000	43.638168	4671	0.000000
281474976710655.000000	37.102325	4672	0.000000
281474976710655.000000	39.783394	4673	0.000000
281474976710655.000000	37.085945	4674	0.000000
281474976710655.000000	35.661896	4675	0.000000
281474976710655.000000	41.212662	4676	0.000000
281474976710655.000000	42.657097	4677	0.000000
281474976710655.000000	41.103046	4678	0.000000
281474976710655.000000	39.601265	4679	0.000000
281474976710655.000000	35.829590	4680	0.000000
281474976710655.000000	40.860500	4681	0.000000
281474976710655.000000	56.707527	4682	0.000000
281474976710655.000000	33.774380	4683	0.000000
281474976710655.000000	49.025745	4684	0.000000
281474976710655.000000	30.478260	4685	0.000000
281474976710655.000000	45.994255	4686	0.000000
281474976710655.000000	39.110435	4687	0.000000
281474976710655.000000	39.610600	4688	0.000000
281474976710655.000000	28.366932	4689	0.000000
281474976710655.000000	43.642609	4690	0.000000
281474976710655.000000	31.520109	4691	0.000000
281474976710655.000000	35.718864	4692	0.000000
281474976710655.000000	31.266720	4693	0.000000
281474976710655.000000	43.051712	4694	0.000000
281474976710655.000000	28.792496	4695	0.000000
281474976710655.000000	39.939217	4696	0.000000
281474976710655.000000	32.502464	4697	0.000000
281474976710655.000000	32.798389	4698	0.000000
281474976710655.000000	35.301544	4699	0.000000
281474976710655.000000	35.312466	4700	0.000000
281474976710655.000000	28.078754	4701	0.000000
281474976710655.000000	35.794518	4702	0.000000
281474976710655.000000	34.462692	4703	0.000000
281474976710655.000000	38.388847	4704	0.000000
281474976710655.000000	33.765930	4705	0.000000
281474976710655.000000	36.775101	4706	0.000000
281474976710655.000000	27.620375	4707	0.000000
281474976710655.000000	39.008152	4708	0.000000
281474976710655.000000	31.323034	4709	0.000000
281474976710655.000000	33.668194	4710	0.000000
281474976710655.000000	32.709110	4711	0.000000
281474976710655.000000	32.055977	4712	0.000000
281474976710655.000000	32.257973	4713	0.000000
281474976710655.000000	34.518192	4714	0.000000
281474976710655.000000	34.682755	4715	0.000000
281474976710655.000000	42.367718	4716	0.000000
281474976710655.000000	34.825245	4717	0.000000
281474976710655.000000	37.227650	4718	0.000000
281474976710655.000000	28.096815	4719	0.000000
281474976710655.000000	39.645519	4720	0.000000
281474976710655.000000	31.269676	4721	0.000000
281474976710655.000000	34.426491	4722	0.000000
281474976710655.000000	33.301086	4723	0.000000
281474976710655.000000	31.500381	4724	0.000000
